dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.922,0.011661903789690611,0.93,16.192522879937314,0.030052008599988765
Adiac,0.8102120535714287,0.02586867231826105,0.826171875,13.129582959995606,0.02004898019979009
ArrowHead,0.8662234042553193,0.02504565868976313,0.8956117021276595,4.85669801995391,0.011755516300021553
Beef,0.7266666666666666,0.038873012632302036,0.8,2.6299314000178127,0.004442904099589214
BeetleFly,0.8100000000000002,0.04898979485566355,0.85,2.1110212199913803,0.0034018432001903425
BirdChicken,0.9399999999999998,0.05830951894845301,1.0,2.1197839199448936,0.0034324453000299402
BME,0.9984375,0.0019136638615493578,1.0,2.6102155999746173,0.007664894900342915
Car,0.9,0.010540925533894595,0.9166666666666666,5.355871619973914,0.00843678499973612
CBF,0.99921875,0.0003906250000000001,1.0,2.6969411600235618,0.03497234800001024
Chinatown,0.9877753831417625,0.0019530051498364157,0.9895833333333334,1.5909656199772144,0.008776429299847222
ChlorineConcentration,0.8071354166666668,0.02851133196375122,0.8403645833333333,14.168968860027963,0.17170108389995584
CinCECGTorso,0.8161477272727271,0.020405770445113738,0.8485795454545454,9.948422040021978,0.4690116971002281
Coffee,1.0,0.0,1.0,4.342655560013372,0.0033845278999797305
Computers,0.7967213114754099,0.03678562294993754,0.8361936475409837,19.82350422000163,0.03915223469998455
CricketX,0.8477864583333334,0.021828447489266524,0.873046875,20.110627200035378,0.03102603890019236
CricketY,0.8515625,0.012165946486247997,0.87109375,20.108672540046975,0.030930334900054736
CricketZ,0.8407552083333334,0.006921892635417715,0.8509114583333334,20.16823746000882,0.031066584700049138
Crop,0.7325402462121212,0.017460576348112298,0.7592329545454546,113.02038259996334,0.39974603680000287
DiatomSizeReduction,0.9438958333333332,0.008371941813117333,0.9594791666666667,1.9556335400004172,0.026180004799884048
DistalPhalanxOutlineAgeGroup,0.86640625,0.005182226234930313,0.875,8.706405100025586,0.0066466208000056206
DistalPhalanxOutlineCorrect,0.7827083333333333,0.01955838392977409,0.8104166666666667,11.221633760022815,0.009650061699896467
DistalPhalanxTW,0.6463068181818181,0.0351752559966044,0.6878551136363636,8.588430139934644,0.006574014699624968
Earthquakes,0.6963068181818182,0.0015625,0.6970880681818181,20.076501400076086,0.017573756199970376
ECG200,0.8800000000000001,0.01264911064067353,0.9,2.237078959980863,0.0036880234998243394
ECG5000,0.935407986111111,0.0018612455253078177,0.9378472222222223,13.06444020003255,0.17680540899993505
ECGFiveDays,0.9991071428571429,0.0013015517622422595,1.0,2.407889159960905,0.03229719219985418
ElectricDevices,0.6826447646747753,0.016552268682719768,0.7012617332099418,177.08139078000386,0.23664482169992698
EOGHorizontalSignal,0.6499705188679246,0.024895093287811736,0.6844044811320754,46.57540205995902,0.09329090549993271
EOGVerticalSignal,0.5087755503144654,0.0040902938555209475,0.5117924528301887,46.25953606000985,0.09261974959971848
EthanolLevel,0.9067887931034482,0.011776435385500182,0.9239628232758621,88.41934721998113,0.17567260459990938
FaceAll,0.8035027472527473,0.016866595836701744,0.8331902472527473,16.297390520031332,0.06290150350009208
FaceFour,0.9545454545454545,0.010163945352271763,0.9659090909090909,1.9564020999532659,0.007477290400027413
FacesUCR,0.9549632352941175,0.0037896191411926758,0.9586397058823529,5.305650579975918,0.07647357859979093
FiftyWords,0.7756161971830986,0.025540701414723845,0.8073558538732395,19.6578750999819,0.030065503000208993
Fish,0.9875,0.004555431167847891,0.9921875,10.466982899961295,0.018977958599876728
FordA,0.9572727272727274,0.005830719357261187,0.9643465909090909,205.17561176003946,0.14397846649988785
FordB,0.8402848639455783,0.01565145673039196,0.859109268707483,207.23873193994513,0.08891126140006236
FreezerRegularTrain,0.9984375,0.00034640078217340316,0.9989809782608695,10.100074399981532,0.2024826225997094
FreezerSmallTrain,0.7472906010230178,0.02875810423128138,0.7731577685421994,4.798967019977863,0.2021679390999634
Fungi,0.9359105603448276,0.024574281979233635,0.96484375,2.5748770200327273,0.010370402800253942
GunPoint,0.99765625,0.0019136638615493578,1.0,1.9678225000272505,0.008158727700079908
GunPointAgeSpan,0.9706597222222223,0.015198658769610608,0.9895833333333334,5.162702040051227,0.013383152700247591
GunPointMaleVersusFemale,1.0,0.0,1.0,5.165314860048238,0.013393739399820335
GunPointOldVersusYoung,1.0,0.0,1.0,5.155877399997553,0.0133902275001019
Ham,0.6685714285714285,0.09588352722783405,0.780952380952381,5.58251044000499,0.010653206699818838
HandOutlines,0.9521929824561403,0.00600299044846169,0.9586988304093568,269.7313750399917,0.19823153360022114
Haptics,0.5201923076923077,0.024868934460814843,0.5518830128205128,19.24120918000408,0.06916692769998918
Herring,0.634375,0.0414578098794425,0.703125,5.025927139970008,0.007853926999989196
HouseTwenty,0.9260504201680673,0.008233578967338413,0.9411764705882353,11.390403159995913,0.04686928789988451
InlineSkate,0.4747532894736842,0.012894359218423386,0.48922697368421053,20.645971259989892,0.20730577990006713
InsectEPGRegularTrain,1.0,0.0,1.0,5.611709180058097,0.03145961429992167
InsectEPGSmallTrain,1.0,0.0,1.0,2.372094139875844,0.031151576200194542
InsectWingbeatSound,0.5799934895833333,0.012366923324238532,0.5956705729166667,8.980974000005517,0.11950706840000931
ItalyPowerDemand,0.967013888888889,0.004287878137232126,0.9713541666666666,1.666781320067821,0.02574334429994633
LargeKitchenAppliances,0.8734331232492998,0.014652467142379862,0.8866421568627452,28.82336210003414,0.0563026907996973
Lightning2,0.7475409836065574,0.06924167895718976,0.8688524590163934,5.818494539972744,0.009354024100015523
