dataset,acc_mean,acc_std,acc_best,time_train,time_val
ECGFiveDays,1.0,0.0,1.0,1.1811666599998716,1.233765559999938
ElectricDevices,0.7297108027493191,0.001952004951080479,0.7328491765011024,76.54767494000006,1.7568947200000367
EOGHorizontalSignal,0.5784530386740332,0.0037471436370857965,0.5828729281767956,1.3400482400000329,1.1815791400000308
EOGVerticalSignal,0.5469613259668509,0.0055248618784530246,0.5552486187845304,1.3421420800001216,1.1760972399999445
EthanolLevel,0.5875999999999999,0.007838367176906176,0.6,1.4340295999999397,1.2062126800001352
FaceAll,0.9233136094674557,0.006886313148391071,0.9355029585798816,1.4485237399999278,1.2784278000000084
FaceFour,0.975,0.004545454545454541,0.9772727272727273,1.19049640000012,1.1401559399999313
FacesUCR,0.9616585365853659,0.0007300794901022331,0.9629268292682926,1.2734693599999445,1.3230685800000173
FiftyWords,0.8351648351648352,0.0013900121583157662,0.8373626373626374,1.4133886599995094,1.211482839999917
Fish,0.9828571428571429,0.0,0.9828571428571429,1.2724328599997534,1.1750354799996785
FordA,0.9436363636363637,0.0014050937114387387,0.9462121212121212,9.308883399999832,1.257364879999841
FordB,0.8032098765432097,0.0049135182079339266,0.8123456790123457,9.232048000000031,1.2157008000000133
FreezerRegularTrain,0.9978947368421052,0.0002219142217661887,0.9982456140350877,1.271638820000044,1.3446884800003318
FreezerSmallTrain,0.9523508771929825,0.0035603230579553144,0.9578947368421052,1.1955725799998618,1.3529134200001864
Fungi,0.9870967741935484,0.002633859938476533,0.989247311827957,1.1898028600002362,1.1665934599999672
GunPoint,1.0,0.0,1.0,1.1810722800000804,1.1587669400001688
GunPointAgeSpan,0.9917721518987342,0.0025316455696202276,0.9936708860759493,1.2362773999995627,1.1812728400000196
GunPointMaleVersusFemale,0.9987341772151899,0.0015503099637868298,1.0,1.2750178199999935,1.1823164199999157
GunPointOldVersusYoung,1.0,0.0,1.0,1.2379576799996357,1.1853750199999922
Ham,0.7219047619047619,0.02033729190863106,0.7428571428571429,1.2170899600003395,1.1574599199999283
HandOutlines,0.9437837837837838,0.0020225175063642723,0.9459459459459459,2.5219743399995425,1.1947182600000814
Haptics,0.5227272727272727,0.0,0.5227272727272727,1.2700316199996449,1.1856853199997204
Herring,0.690625,0.011692679333668566,0.703125,1.198582780000106,1.1478475000001709
HouseTwenty,0.9647058823529411,0.003361344537815114,0.9663865546218487,1.2179840600001626,1.1642702199997075
InlineSkate,0.45600000000000007,0.004209395237378264,0.46,1.2412854800004425,1.1992457599999398
InsectEPGRegularTrain,1.0,0.0,1.0,1.212568099999953,1.1723182400004588
InsectEPGSmallTrain,0.9983935742971888,0.0019674616407897257,1.0,1.186140599999817,1.170365579999998
InsectWingbeatSound,0.6523232323232324,0.0008206099398622017,0.6535353535353535,1.2844967399998495,1.2991427799999655
ItalyPowerDemand,0.9687074829931973,0.0003887269193391329,0.9689018464528668,1.185213979999935,1.2305540400006068
LargeKitchenAppliances,0.8879999999999999,0.0033730961708462862,0.8906666666666667,1.3542930999996314,1.1756188400004248
Lightning2,0.7704918032786885,0.0,0.7704918032786885,1.1956832199999554,1.1469533799992861
Lightning7,0.8410958904109588,0.010958904109589034,0.8493150684931506,1.2353960800001005,1.1461733000001915
Mallat,0.9551385927505331,0.0005657355719156181,0.9560767590618336,1.1957366000000547,1.9110318599998208
